Date,Open,High,Low,Close,Volume
2016-11-02,18017.720703125,18044.150390625,17931.890625,17959.640625,886100
2016-11-03,17978.75,18006.9609375,17904.0703125,17930.669921875,778600
2016-11-04,17928.349609375,17986.759765625,17883.560546875,17888.279296875,977600
2016-11-07,17994.640625,18263.30078125,17994.640625,18259.599609375,934500
2016-11-08,18251.380859375,18400.5,18200.75,18332.740234375,798200
2016-11-09,18317.259765625,18650.060546875,18252.55078125,18589.689453125,1731100
2016-11-10,18603.140625,18873.66015625,18603.140625,18807.880859375,1643900
2016-11-11,18781.650390625,18855.779296875,18736.9609375,18847.66015625,1073000
2016-11-14,18876.76953125,18934.05078125,18815.75,18868.689453125,1122500
2016-11-15,18858.2109375,18925.259765625,18806.060546875,18923.060546875,1006600
2016-11-16,18909.849609375,18909.849609375,18825.890625,18868.140625,873200
2016-11-17,18866.220703125,18904.029296875,18845.26953125,18903.8203125,899400
2016-11-18,18905.330078125,18915.740234375,18853.830078125,18867.9296875,1098800
2016-11-21,18898.6796875,18960.759765625,18883.099609375,18956.689453125,805200
2016-11-22,18970.390625,19043.900390625,18962.8203125,19023.869140625,853100
2016-11-23,19015.51953125,19083.759765625,19000.380859375,19083.1796875,778800
2016-11-25,19093.720703125,19152.140625,19093.720703125,19152.140625,458900
2016-11-28,19122.140625,19138.720703125,19072.25,19097.900390625,884600
2016-11-29,19064.0703125,19144.400390625,19062.220703125,19121.599609375,815100
2016-11-30,19135.640625,19225.2890625,19123.380859375,19123.580078125,1645700
2016-12-01,19149.19921875,19214.30078125,19138.7890625,19191.9296875,1088000
2016-12-02,19161.25,19196.140625,19141.1796875,19170.419921875,849200
2016-12-05,19244.349609375,19274.849609375,19186.73046875,19216.240234375,3178000
2016-12-06,19219.91015625,19255.890625,19184.740234375,19251.779296875,2849600
2016-12-07,19241.990234375,19558.419921875,19229.830078125,19549.619140625,3852000
2016-12-08,19559.939453125,19664.970703125,19527.830078125,19614.810546875,3245700
2016-12-09,19631.349609375,19757.740234375,19623.189453125,19756.849609375,3344700
2016-12-12,19770.19921875,19824.58984375,19747.740234375,19796.4296875,3336600
2016-12-13,19852.2109375,19953.75,19846.44921875,19911.2109375,3884200
2016-12-14,19876.130859375,19966.4296875,19748.669921875,19792.529296875,4084300
2016-12-15,19811.5,19951.2890625,19811.5,19852.240234375,3573500
2016-12-16,19909.009765625,19923.169921875,19821.0,19843.41015625,5734700
2016-12-19,19836.66015625,19917.779296875,19832.94921875,19883.060546875,3023100
2016-12-20,19920.58984375,19987.630859375,19920.419921875,19974.619140625,2840800
2016-12-21,19968.970703125,19986.560546875,19941.9609375,19941.9609375,2566400
2016-12-22,19922.6796875,19933.830078125,19882.189453125,19918.880859375,2582900
2016-12-23,19908.609375,19934.150390625,19899.060546875,19933.810546875,1582600
2016-12-27,19943.4609375,19980.240234375,19939.80078125,19945.0390625,1585400
2016-12-28,19964.310546875,19981.109375,19827.310546875,19833.6796875,1883500
2016-12-29,19835.4609375,19878.439453125,19788.939453125,19819.779296875,1720400
2016-12-30,19833.169921875,19852.55078125,19718.669921875,19762.599609375,2719100
2017-01-03,19872.859375,19938.529296875,19775.9296875,19881.759765625,3391800
2017-01-04,19890.939453125,19956.140625,19878.830078125,19942.16015625,2800100
2017-01-05,19924.560546875,19948.599609375,19811.119140625,19899.2890625,2699200
2017-01-06,19906.9609375,19999.630859375,19834.080078125,19963.80078125,2777000
2017-01-09,19931.41015625,19943.779296875,19887.380859375,19887.380859375,2875100
2017-01-10,19876.349609375,19957.119140625,19836.029296875,19855.529296875,2994100
2017-01-11,19887.380859375,19973.419921875,19833.16015625,19954.279296875,3361500
2017-01-12,19926.2109375,19929.2890625,19770.470703125,19891.0,3062900
2017-01-13,19912.5390625,19952.029296875,19849.380859375,19885.73046875,2637800
2017-01-17,19848.8203125,19882.990234375,19775.349609375,19826.76953125,3419000
2017-01-18,19822.73046875,19828.19921875,19739.0,19804.720703125,2797600
2017-01-19,19813.55078125,19824.140625,19677.939453125,19732.400390625,3017500
2017-01-20,19795.060546875,19843.939453125,19759.140625,19827.25,4352600
2017-01-23,19794.7890625,19833.98046875,19732.359375,19799.849609375,3266900
2017-01-24,19794.6796875,19949.240234375,19786.7109375,19912.7109375,3744600
2017-01-25,19994.48046875,20082.0,19994.48046875,20068.509765625,3722400
2017-01-26,20076.25,20125.580078125,20067.529296875,20100.91015625,3567300
2017-01-27,20103.359375,20115.970703125,20072.640625,20093.779296875,3431300
2017-01-30,20028.619140625,20028.619140625,19870.390625,19971.130859375,3172800
2017-01-31,19913.16015625,19918.169921875,19784.76953125,19864.08984375,3737500
2017-02-01,19923.810546875,19967.73046875,19845.990234375,19890.939453125,4266700
2017-02-02,19858.33984375,19922.75,19831.08984375,19884.91015625,3472200
2017-02-03,19964.2109375,20081.48046875,19964.2109375,20071.4609375,3442200
2017-02-06,20025.609375,20094.94921875,20002.810546875,20052.419921875,2817200
2017-02-07,20107.619140625,20155.349609375,20068.6796875,20090.2890625,2796700
2017-02-08,20049.2890625,20068.279296875,20015.330078125,20054.33984375,2804100
2017-02-09,20061.73046875,20206.359375,20061.73046875,20172.400390625,3253100
2017-02-10,20211.23046875,20298.2109375,20204.759765625,20269.369140625,3122300
2017-02-13,20338.5390625,20441.48046875,20322.94921875,20412.16015625,3146200
2017-02-14,20374.220703125,20504.41015625,20374.01953125,20504.41015625,3565800
2017-02-15,20504.26953125,20620.44921875,20496.029296875,20611.859375,3843800
2017-02-16,20627.310546875,20639.869140625,20556.830078125,20619.76953125,3541200
2017-02-17,20564.130859375,20624.05078125,20532.609375,20624.05078125,3406200
2017-02-21,20663.4296875,20757.640625,20663.369140625,20743.0,3368800
2017-02-22,20715.41015625,20781.58984375,20692.390625,20775.599609375,3105300
